,popularity,artist_name,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
63,91,Bad Bunny,La Corriente,1797zYiX4cKosMH836X9Gt,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,198367,4
64,19,haruka nakamura,Light years,09HxHyoLRxOrvfzOfVAqtz,0.235,0.441,5,-9.366,1,0.0325,0.873,0.917,0.11,0.572,78.063,275871,4
65,82,Pharrell Williams,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136,4
66,23,haruka nakamura,afterimage,07cazzUD3x0SCJ2tIuEoMB,0.188,0.43,5,-12.183,0,0.0327,0.96,0.917,0.0914,0.115,87.355,215317,4
67,89,Bad Bunny,Un Ratito,5CzixCxDkRXX9mScCmah8O,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,176936,4
68,8,Zeekonthebeat,Happy New Years 2022,5bOP7QNXOdbaIP5uyN8Jrv,0.328,0.437,0,-18.794,0,0.0722,0.0314,0.0,0.612,0.253,93.994,93623,1
69,86,Harry Styles,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
70,11,Avery Alexander,Stealth (10 Year Anniversary Edition),4vhI1QMQdiugqqyCCSqaf0,0.441,0.283,11,-23.314,1,0.0326,0.65,0.844,0.116,0.201,80.002,216094,4
71,89,Bad Bunny,Neverita,31i56LZnwE6uSu3exoHjtB,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,173119,4
72,15,WhispersRed ASMR,New Year Tingle Basket,7nrWOQFZWhFeyX9rKm44dk,0.473,0.296,5,-37.854,0,0.194,0.0604,0.00193,0.281,0.0299,103.638,3100640,3
73,81,Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4
74,25,Menachem 26,Istanbul 2022,5VnuU70qRWGrkLPkMLTiD4,0.791,0.756,9,-8.457,1,0.0445,0.0138,0.795,0.0716,0.203,112.994,309494,4
75,90,benny blanco,Bad Decisions (with BTS & Snoop Dogg),0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,172714,4
76,85,Beyoncé,ALIEN SUPERSTAR,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460,4
77,19,Eikichi Yazawa,ミスター・ギブソン (セルフカバー) - Remastered 2022,5h7t3xeHdfDthaqIF0fn3q,0.585,0.825,5,-8.653,0,0.0484,0.00398,1.5e-05,0.14,0.773,115.266,160200,4
78,88,Beyoncé,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,278282,4
79,16,Danny Cocke,Before the War – SI 2022 Main Theme,0ZQgWgsIfaECd7Cket7TVO,0.399,0.579,1,-10.155,0,0.0295,0.000527,0.838,0.0968,0.158,92.512,274265,4
80,84,Drake,Sticky,4rmVZajAF7PkrCagGPHbqa,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,243228,4
81,18,haruka nakamura,sunset waves,0seiH9ZtOdLdWWI8G4CPJ3,0.288,0.401,11,-14.246,1,0.0353,0.76,0.789,0.0718,0.131,164.055,350294,4
82,81,d4vd,Romantic Homicide,4jonEzO6nIIBt5xPGsyOA0,0.556,0.55,6,-10.601,1,0.034,0.447,0.0104,0.321,0.196,131.969,132631,4
83,84,Kendrick Lamar,N95,0fX4oNGBWO3dSGUZcVdVV2,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
84,20,Yousef,Wildside,5G0HsKbmhGZ06jD8q6GKXh,0.605,0.779,0,-7.271,1,0.0282,0.000394,0.27,0.152,0.287,126.992,249449,4
85,80,Nardo Wick,Dah Dah DahDah,2TSfStvlAMLw89u3tali79,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,151776,4
86,18,The Realm,Lost In Space (The Space Brothers Remix) - 2022 Remaster,4ipwKNmXBjb359j96ujkxh,0.576,0.984,11,-4.694,0,0.0309,0.000237,0.784,0.189,0.296,134.849,220708,4
87,95,ROSALÍA,DESPECHÁ,5ildQOEKmJuWGl2vRkFdYc,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,157018,4
88,17,haruka nakamura,ORFE,0o4gH9IfFoDSczdzZEZbXp,0.568,0.565,11,-10.657,0,0.0484,0.764,0.874,0.171,0.335,140.016,260571,4
89,86,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964,4
90,16,Eikichi Yazawa,二人だけ (セルフカバー) - Remastered 2022,2fSNv9r2sxEh1A0ZOlSViQ,0.709,0.536,6,-9.89,1,0.0275,0.0462,0.00466,0.0437,0.875,106.784,208987,4
91,79,Tyler Hubbard,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,189780,4
92,16,haruka nakamura,to the SEA,1LiXwqPsQF90BUOTAwdOHf,0.301,0.381,2,-13.097,1,0.0344,0.946,0.899,0.23,0.239,139.961,338261,5
93,80,Noah Kahan,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,182347,4
94,23,The Space Brothers,Your Place In The World (Extended Mix) - 2022 Remaster,4UXBXbOHkN2ByEW7GMi6E5,0.614,0.615,2,-7.971,1,0.043,0.13,0.0494,0.384,0.374,80.297,304011,4
95,87,Bad Bunny,Yo No Soy Celoso,5kVZxyMY1gfdCLiChsfjn1,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,230704,4
96,16,haruka nakamura,Northern Sights,6AAveBSteNalwDqw646Vnf,0.61,0.474,8,-7.288,1,0.0276,0.94,0.892,0.206,0.597,86.008,256835,4
97,85,Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,164533,3
98,10,THAT KIND,Better Off Alone,68x6BVFv3dHm1T71ZdJ9ja,0.726,0.754,1,-4.189,0,0.0736,0.356,2.51e-06,0.151,0.702,124.035,153412,4
99,82,NAV,Never Sleep (with Lil Baby feat. Travis Scott),3GdWfmQBiiJrDUvSZS1bGv,0.819,0.651,1,-5.829,1,0.169,0.00639,0.0,0.122,0.501,139.957,185786,4
100,13,Kyau & Albert,Where Did All the Years Go (In Bloom 2022),1U7isoIVpgTXGjIUi5LUEf,0.555,0.771,2,-11.511,0,0.0383,0.00204,0.136,0.36,0.269,126.358,197855,3
101,82,Sleepy Hallow,Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,148817,4
102,12,Gaana Subash,Happy New Year 2022,7CT6n85AuowzdPKFl9cXM4,0.771,0.959,9,-4.118,0,0.294,0.31,0.0,0.17,0.712,81.526,260058,4
103,86,Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,153000,3
104,15,haruka nakamura,green grass,3Z1NJXkjQTLjvslJbUpeWh,0.449,0.506,0,-10.978,1,0.0335,0.842,0.937,0.142,0.314,140.032,325799,4
105,88,BLACKPINK,Pink Venom,0skYUMpS0AcbpjcGsAbRGj,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,186964,4
106,14,Eikichi Yazawa,コーヒー・ショップの女の娘 (セルフカバー) - Remastered 2022,6IIKSry6Ku0w7L2Xw1bH1H,0.495,0.652,0,-8.373,1,0.0275,0.00132,4.87e-05,0.492,0.71,79.855,163360,4
107,80,Future,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,172933,4
108,10,Ava Max,My Head & My Heart,4VAZH3smXXFMH2BGSP5RhU,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,174760,4
109,84,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,218577,4
110,14,haruka nakamura,pianoforte d'estate,7CCgRBTTH7Zks3FwqdYE0a,0.185,0.211,9,-17.755,1,0.0315,0.955,0.861,0.145,0.0902,98.663,160078,4
111,84,Beyoncé,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389,4
112,14,Social Creatures,Seven Years,7hTp6fqhhfl3jrrvWEGW5r,0.503,0.77,8,-7.379,1,0.0356,0.00511,1.11e-05,0.127,0.558,141.996,235178,4
113,86,Billie Eilish,TV,3GYlZ7tbxLOxe6ewMNVTkw,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381,4
114,11,Babe Ruth,For a Few Dollars More - 2022 Remaster,26hX4caLIGgqVs9yVH59cs,0.664,0.649,11,-10.689,0,0.0332,0.0404,0.17,0.192,0.421,112.397,141053,4
115,81,Quavo,HOTEL LOBBY (Unc & Phew),0QNNd0qMCDbraS1nQPg3aA,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,142657,4
116,13,Eikichi Yazawa,憎いあの娘 (セルフカバー) - Remastered 2022,2RRahpVzdEQWI9tWKPnM4Y,0.611,0.68,9,-9.486,1,0.0334,0.00035,1.35e-05,0.0699,0.774,124.524,191533,4
117,83,Kendrick Lamar,Die Hard,2g6tReTlM2Akp41g0HaeXN,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,239027,4
118,14,haruka nakamura,one hymn,5uJPjiuGC70uRlFyoYS5Af,0.677,0.487,2,-11.394,1,0.0335,0.92,0.926,0.145,0.247,87.953,430909,4
119,87,Bad Bunny,Otro Atardecer,0E0DRHf5PfMeor0ZCwB3oT,0.777,0.595,2,-6.79,1,0.0375,0.59,0.00139,0.0669,0.546,108.02,244444,4
120,20,Josef Strauss,"Phönix-Marsch, Op. 105",1mhUDxfJryrpt9E7LZaRQC,0.606,0.414,3,-16.093,1,0.0343,0.905,0.943,0.294,0.829,107.983,122000,4
121,79,Nate Smith,Whiskey On You,6Tm4Io4ct4w14nB1EUzsY3,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,183790,4
122,6,The Harvard Krokodiloes,In a Sentimental Mood,69sdSYaI6o7ta9gjFVGgcE,0.214,0.165,11,-10.832,0,0.032,0.9,0.0,0.111,0.161,86.195,224632,1
123,86,Marshmello,Numb,10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,4
124,10,Workout Music ,Rise Up (Warmup Workout Mix),6hnwbz6odadbu3bmMUHEv4,0.226,0.58,1,-3.661,1,0.0414,0.771,0.0,0.126,0.191,77.726,294827,5
125,78,Morgan Wallen,Thought You Should Know,6NHpyYvJyQsg2nXXzGYc2R,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,215572,4
126,10,Workout Music ,Beggin’ (Workout Mix),3aSEwDuVlabNvITpOKkiwT,0.674,0.87,11,-6.404,0,0.0415,0.00072,0.00875,0.0247,0.759,127.988,270069,4
127,88,Bad Bunny,Un Coco,6VrQTLzzuyGIYjUDe4kAZk,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,196413,4
128,10,Workout Music ,Blinding Lights (Workout Mix),1Ihpps7NA0Qhu3uUa3x7K6,0.717,0.932,8,-1.607,1,0.153,0.0285,0.107,0.0949,0.961,123.906,270461,4
129,88,Bad Bunny,Andrea,44XjoNvtwevktFKjvVe1vH,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,339612,4
130,12,Last Year's Man,'Neath the Harrowed Sky,4fLc4EG3fjEvS7l1qiI22w,0.572,0.413,0,-13.481,0,0.0333,0.557,0.00496,0.112,0.452,166.009,222374,4
131,92,Central Cee,Doja,3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,97393,4
132,25,Womack & Womack,Teardrops,14mRtbBGeqILGZI1r49Uv5,0.877,0.808,11,-7.502,1,0.0401,0.0426,0.248,0.119,0.966,133.237,230840,4
133,78,Jon Pardi,Last Night Lonely,3SeeaIXnrCfT88vHVCRWHl,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,181991,4
134,12,Eikichi Yazawa,0時5分の最終列車 (セルフカバー) - Remastered 2022,3H4UKAGjgXgzTOgarsmkc1,0.604,0.65,0,-8.959,1,0.0285,0.00528,3.34e-05,0.232,0.668,124.291,182467,4
135,85,Megan Thee Stallion,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
136,8,Workout Music ,Heat Waves (Workout Mix),5I64qCyYrFPBRWN00zUkVe,0.8,0.567,8,-8.916,0,0.0814,0.00144,0.815,0.0605,0.967,143.961,255000,4
137,84,Harry Styles,Little Freak,3i058E8uxTsYqJ5NWZzqSj,0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,0.402,141.96,202183,4
138,9,Workout Music ,Cold Heart (Workout Mix),4rtAK47x8GeyUC5cxgFJzo,0.748,0.787,1,-5.939,1,0.22,0.124,7.77e-05,0.028,0.898,129.997,251113,4
139,78,Bailey Zimmerman,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,232059,4
140,9,Workout Music ,Easy on Me (Workout Mix),2BGGgxDFHRyyzvjjKzbEUl,0.652,0.664,5,-6.422,1,0.038,0.00758,0.00199,0.0937,0.599,135.017,270220,4
141,84,Bad Bunny,El Apagón,0UvZcEfpzVyx47QsRbjyBz,0.629,0.698,8,-4.485,1,0.308,0.0509,0.00166,0.0909,0.599,117.765,201816,4
142,11,Eikichi Yazawa,レディ・セブンティーン (セルフカバー) - Remastered 2022,3BSZxGw3ANmYVyVfMyhADi,0.408,0.82,4,-7.392,1,0.0293,0.0096,1.9e-05,0.214,0.652,159.382,190813,4
143,80,Steve Lacy,Static,4OmfWzukSVD140NiAIEjem,0.335,0.305,1,-12.661,1,0.0741,0.434,0.631,0.101,0.215,79.001,156507,5
144,12,Force Majeure,Out Of My Mind - 2022 Remaster,5oFsYgfoaWsfQsEqq4ueSe,0.448,0.973,9,-4.336,0,0.0356,0.0202,0.894,0.284,0.29,137.822,242916,4
145,88,Bad Bunny,Dos Mil 16,4d4ZXH4dr5bYfgErHiZCX2,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058,208615,3
